source,target,label
The period proposed by Amendment No 14 is therefore much more realistic.,"Therefore, the timeline suggested in Amendment No 14 is a lot more practical.",1
"We therefore prefer the latter form, which is also well known by consumers in the food sector.","For this reason, the second form is our preferred choice because it's recognized by food sector consumers.",1
"Mr President, 'grasp all, lose all', as we say in my country.","Mr. President, as the saying goes in my country, 'Try to hold everything, and you'll lose everything.'",1
"Indeed, the Commission referred this proposal to Parliament on 10 February 1997.","The proposal was presented to Parliament by the Commission on February 10, 1997.",1
"No, we cannot agree.","No, consensus cannot be reached.",1
"I fully support the concept of clear, non-technical and standardised labelling of food products.","I am in full agreement with the idea of making food product labels clear, non-technical, and uniform.",1
On genetically modified organisms I would repeat my earlier statements.,I echo my previous statements on genetically modified organisms.,1
From this point of view we must have an effective educational programme for consumers.,We need an effective consumer education program from this perspective.,1
"Mr President, Commissioner, ladies and gentlemen, Mr Schnellhardt, I think that you are all wrong.","Mr. President, Commissioner, and respected assembly, Mr. Schnellhardt included, I believe you have all got it wrong.",1
I really think that you are mistaken.,I truly believe that you're incorrect.,1
"Mr Whitehead, I am a doctor.","I'm a physician, Mr. Whitehead.",1
I do not accept that you could suppose for one moment that I support alcoholism.,It's incorrect to think that I would support alcoholism.,1
Every day I fight the battle against this scourge.,"Every day, I take up the fight against this plague.",1
"These are evil, deadly drinks which we should remove from consumption and which are dangerous to young people.","These dangerous drinks are fatal and should not be consumed, especially by young people.",1
We are following our approach towards the recent common organisation of the market in wine.,We continue to implement our method pertaining to the latest joint regulation of the wine market.,1
I realise that traditional products have not normally carried labels as to their content.,I'm aware that it's not common for traditional products to include labels detailing their contents.,1
"Also, labelling cannot solve all problems.","Furthermore, labelling is not the answer to everything.",1
Labelling must be accurate and checked to ensure consumer confidence.,Labels need to be verified and correct to maintain trust among consumers.,1
Inaccurate and uncontrolled declarations are useless and bring the whole system into disrepute.,Misleading and unchecked statements are of no value and tarnish the entire system's reputation.,1
In the vote I would like to see the proposal to include beer extended to include cider also.,"In the upcoming vote, I'd like the proposition that covers beer to be broadened to cider too.",1
Therefore I will be supporting Amendment No 15 as well as Amendment No 9.,"Hence, I plan to back both Amendment No 15 and Amendment No 9.",1
"To conclude, consumer information must be complete and accurate.","Ultimately, details given to consumers should be full and correct.",1
I therefore support the declaration of ingredients on all food items.,I am in favor of listing the contents on every food product.,1
We shall not make any progress.,We won't move forward.,1
I cannot interfere in internal disputes.,I'm not in a position to get involved in internal conflicts.,1
"It is true that I spoke to the rapporteur, but I do not know whether he delayed the proposal, Mrs Lulling.","Yes, I did speak with the rapporteur. Whether or not this caused the proposal's delay is unknown to me, Mrs Lulling.",1
"On the other hand, I have a natural inclination to believe everything you say.","Conversely, I am disposed to accept all that you profess.",1
"However, I have no wish to interfere in this matter.","But, I don't desire to get involved in this affair.",1
"After all, wine is mentioned in the Bible, and that is certainly something!","Indeed, the fact that wine is talked about in the Bible really means a lot.",1
"That, in short, is what we all want to achieve.","Essentially, that's everyone's goal.",1
That is certainly an aim on which there are no differences.,There are no disagreements on that particular goal.,1
That is really no more than what we are proposing.,That's essentially the same as our proposal.,1
That is really the only crucial difference.,This is indeed the sole significant distinction.,1
Now I could not fail to notice during the discussion that there are very widely differing positions on this issue in Parliament.,"During the discussion, it was apparent that Parliament holds varying views on this subject.",1
"That always suits us, because we can then wait and see which position prevails.","This is always favorable for us, since it gives us the opportunity to wait and observe the dominant position.",1
That is precisely what I would suggest we do in this case.,This is exactly my recommendation for this situation.,1
"However, I can imagine that the Council will be more inclined to subscribe to our proposal.","Nonetheless, it's conceivable that the Council will be more amenable to our plan.",1
"But there too, of course, we can wait and see.","In that case, certainly, waiting and observing is a possibility.",1
We certainly have no problem with that.,That definitely isn't an issue for us.,1
"In any event, I have no intention of interfering in the dispute between the legal services.",I plan to remain uninvolved in the disagreement among the legal services.,1
We made this proposal in the way we always make proposals.,We proposed this in a manner consistent with our normal practice.,1
We chose what seemed to us to be the most logical legal basis.,We selected what we believed to be the most reasonable legal foundation.,1
There is no point in waging a conflict of competence at someone else's expense.,Starting a battle over who is in charge isn't worth it if it harms another party.,1
I consider that very unwise.,I think that's a poor decision.,1
But that should then apply to all products.,This should be applicable to every product.,1
Amendment No 19 proposes that it should only apply to wine and spirits.,Amendment No 19 suggests that it be restricted solely to wine and spirits.,1
"We believe that this amounts to unfair treatment, which we cannot accept.",We consider this to be unjust treatment and it is unacceptable to us.,1
"For the same reason, we cannot accept Amendments Nos 5, 6, 7, 11, 16 and 20 or the second part of Amendments Nos 9 and 15.","We must reject Amendments 5, 6, 7, 11, 16, and 20, as well as the latter sections of Amendments 9 and 15, for the same reason.",1
The first part of Amendments Nos 9 and 15 is acceptable to us.,We find the initial section of Amendments Numbers 9 and 15 to be acceptable.,1
"This means that we should then have another case of unfair treatment, although this time the boot would be on the other foot.","This suggests another round of injustice, only this time the roles would be switched.",1
This could very easily be resolved through the watchdog bodies in the Member States.,The watchdog agencies in the Member States could resolve this quite readily.,1
It is not so much a matter of new rules.,The focus isn't on the establishment of new regulations.,1
Mrs Schleicher put forward an argument that might be difficult to sustain.,Mrs. Schleicher presented an argument that could be hard to uphold.,1
Amendments Nos 23 and 24 relate to the problem of alcoholism.,Amendments 23 and 24 are connected to issues of alcohol abuse.,1
"Mr Schnellhardt, by the way, is a medic too.","Incidentally, Mr. Schnellhardt is also a medical professional.",1
Heckling,Interrupting with aggressive comments.,1
"Vets are also medics, and animals are sometimes harder to treat than humans.","Veterinary professionals are medical experts as well, with the treatment of animals oftentimes presenting more complex challenges than human medical care.",1
No consumer will buy a bottle of Pétrus or Amarone in order to get drunk.,Consumers don’t pick a bottle of Pétrus or Amarone when their aim is intoxication.,1
We cannot be indiscriminate and lump everyone together.,We must not treat everyone as if they are the same.,1
"That would be unfair to many people - including, incidentally, the average consumer of alcoholic beverages.","Such an action would be inequitable for many individuals, among them the everyday consumer of alcoholic drinks.",1
Consumers are not so stupid that they cannot obtain information unless we prescribe labels for them to read.,Consumers possess the intelligence to gather information without the need for mandatory labels.,1
We should not think of consumers as beings that we alone can release from ignorance.,We shouldn’t see consumers as individuals whose unawareness can only be addressed by us.,1
"Within the various categories too, I choose very carefully, even if there is no information at all on the label.","In every classification, I make my choices with great care, regardless of the label's lack of information.",1
The sitting was closed at 11.25 p.m.,The meeting ended at 11:25 in the evening.,1
Year 2000 computer problem,Y2K computer issue.,1
"Mr President, this is an extremely important issue for the business community and for citizens within the European Union.","Mr. President, this matter is critically significant for both the corporate sector and the residents of the European Union.",1
Individual citizens own many products.,Numerous products are possessed by people.,1
They travel by different forms of transport.,They use various modes of transportation.,1
They use public utilities.,They utilize communal resources.,1
But we know that within the European Union there are approximately 18 million small enterprises.,It's understood that the European Union is home to about 18 million small enterprises.,1
This is a matter people in the European Union want answers to.,People in the European Union are seeking answers to this issue.,1
Can they resort to law if they find they have problems?,Can they turn to legal action if issues arise?,1
There are two final points I want to deal with.,I want to address two last aspects.,1
What action is being taken by the civil authorities to prepare for a potential disaster in one or another part of the EU?,What steps are civil authorities in parts of the EU taking to get ready for a possible disaster?,1
"Finally, with regard to our external relations.","Lastly, concerning our foreign affairs.",1
Around our borders we have relations with the Eastern European countries and with the former Soviet countries.,The countries of Eastern Europe and the ex-Soviet nations are where we have ties at our borders.,1
They have extensive nuclear installations which we know are already in a very serious state of decline.,We are aware that their nuclear facilities are significantly deteriorating.,1
This is critically important to us.,This holds critical importance for us.,1
It is not only computer buffs who should be concerned.,The concerns should extend beyond just those who are into computers.,1
It is for every citizen to recognise the danger to their own livelihood and risks to our safety.,Every citizen must acknowledge the threat to their personal well-being and the hazards to our collective security.,1
This report has not come too soon - rumours of it being on the agenda of the December part-session are unfounded!,"Contrary to speculation, this report did not narrowly make it into the December part-session's agenda.",1
I should like to address three areas which give cause for concern.,I intend to speak on three areas causing concern.,1
"These are public awareness, liability in the case of failure and, thirdly, the issue we have touched on, namely safety.","These include public awareness, accountability when things go wrong, and the matter we've discussed, which is safety.",1
The situation could be far worse than they could possibly imagine.,Things could be much worse than what they think is possible.,1
"In terms of liability in the case of failure, consumers should be protected.","In the event of a failure, consumer protection regarding liability should be upheld.",1
The present position of whether it is unavoidable failure or unforeseen is inadequate.,Our current understanding of the situation as either an inevitable failure or something unanticipated is not satisfactory.,1
Many insurers are trying to shirk their responsibilities.,Numerous insurance companies are attempting to avoid fulfilling their obligations.,1
"Finally, on safety.","Lastly, regarding safety.",1
Transport is another.,"Transportation is another aspect."" - This version maintains the original sentence's meaning by indicating that transportation is an additional area of consideration, without altering the core information. It also adds the word ""aspect"" to provide a hint about the context, assuming transport is being discussed as part of a series or list",1
I commend this report to the House and congratulate Mr Donnelly again.,"This report receives my highest recommendation to the House, and I extend additional congratulations to Mr Donnelly.",1
I think he gives an excellent answer to all the questions of concern to the European Union here.,I believe he provides outstanding responses to all of the European Union's pressing questions in this context.,1
"It is not his fault that the report is late, it is just one of those things.",The report's belated submission isn't attributable to him; it's merely a matter of circumstance.,1
We would find in the year 2000 that it had all been 'hype' on the part of the software manufacturers.,The year 2000 would reveal that the software producers were merely hyping their products.,1
I will focus on four points.,My attention will be on four key aspects.,1
The first is the problem of 'chain reactions'.,The first issue involves 'chain reactions'.,1
But obviously all these things are closely interrelated.,"But of course, all these aspects are intricately connected.",1
The example of electricity is a very familiar one.,The case of electricity is widely recognized.,1
The second point is liability.,The next issue pertains to responsibility.,1
"Some insurance companies have set aside funds, others have not.","While certain insurers have reserved funds, others have not.",1
I should like to ask the Commissioner how he is handling this manifestation of the internal market?,Could the Commissioner explain his approach to dealing with this aspect of the internal market?,1
My third point is awareness.,My third point relates to being aware.,1
I think that is most important.,I believe that's of the utmost significance.,1
My final point concerns the nuclear sector.,My concluding remark addresses the nuclear industry.,1
We have no idea what will happen here.,We don't know what the future holds for this place.,1
"Finally, Mr President, a question for you.","Lastly, Mr. President, I have a question directed at you.",1
What is the European Parliament doing to ensure that the European Parliament is millennium-compliant?,What actions is the European Parliament taking to meet the millennium requirements?,1
Perhaps you could tell us presently what Parliament is doing.,Could you possibly update us on what Parliament is engaged in at the moment?,1
I am very curious to know.,I really want to find out.,1
"Mr President, I too must compliment Mr Donnelly on his excellent report.","Mr. President, I also want to extend my compliments to Mr. Donnelly for his outstanding report.",1
I should like to take up one point which previous speakers have also made.,I would like to address a specific issue that has been mentioned by earlier speakers as well.,1
"This carries great risks to the economy, to the environment and to people.","This poses significant threats to the financial system, the natural world, and individuals.",1
"Above all, I find the situation in Russia and a number of Central and Eastern European countries alarming.",The conditions in Russia and some countries in Central and Eastern Europe are especially worrying.,1
Now I know that people there say that some computers do not have the problems we have in the West.,I am now aware that some there believe their computers lack the shortcomings common to ours in the West.,1
But we cannot be sure of that.,"However, that cannot be confirmed.",1
"To be on the safe side, I recently paid a working visit to the only nuclear power plant which my country boasts.","Just to be cautious, I made a professional visit to our country's unique nuclear facility.",1
I found there that they had been working for a full year to make the plant millennium-compliant.,I found out that it took them an entire year of work to ensure the plant was compatible with the millennium change.,1
So I am grateful to Mr Donnelly for having incorporating my amendment on this point.,I appreciate Mr. Donnelly for including my amendment concerning this matter.,1
"It is high time that we accepted our responsibilities, and I think account must be taken of this in our aid programmes.","The moment has come for us to embrace our responsibilities, which ought to be reflected in our assistance programmes.",1
A variety of studies show that it can be done at relatively modest cost.,Studies have found that it is achievable at a fairly low cost.,1
The total cost of resolving the Russian millennium problem is put at USD 100 million.,Roughly USD 100 million is estimated for the resolution of Russia's millennium issue.,1
I think that would be money well spent.,I believe the money would be used wisely.,1
Time is getting on.,Time is advancing.,1
"We have no time left, and the responsibility rests with the West just as much as with the East.","Time has run out for both the West and the East, who share equal responsibility.",1
"Mr President, I should like to begin with a confession.","Mr President, I would like to start by making a confession.",1
I am a complete technophobe and clearly this is why my group has chosen me to speak on this complex topic.,"Being a technophobe, it's evident why my group selected me to discuss this intricate subject.",1
I have read Mr Donnelly's splendid report and commend him for it.,I've reviewed the excellent report by Mr. Donnelly and applaud his work.,1
A thought did occur to me.,I did have a thought.,1
Clearly this is an important issue.,"Without a doubt, this matter is of great importance.",1
Could we sue Mr Gates for his many billions of dollars for his responsibility in the process?,Could we take legal action against Mr. Gates for his involvement and claim his billions of dollars?,1
Or perhaps we could nationalise him as one US economist recently suggested.,"Or we might consider nationalizing him, an idea a US economist has put forth not long ago.",1
It seems to me a little late in the day.,It appears to be somewhat overdue.,1
"Indeed, Parliament is also a little late in the day with its report.",Parliament has also delayed its report submission.,1
But I am sure that Commissioner Bangemann will tell us that the Commission is well advanced with its planning.,I am convinced that Commissioner Bangemann will confirm the Commission's advanced planning stages.,1
They may be far-reaching.,Their impact could be extensive.,1
The millennium problem brings us unequivocally up against the limitations of human knowledge and ability.,We are undeniably faced with our own limitations in knowledge and capability due to the millennium problem.,1
"To anyone who puts all his trust in technology, the millennium problem must be a huge disappointment.","For the ones who have placed their complete trust in technological solutions, the Y2K issue must be a considerable source of dismay.",1
A mere trifle like leaving out the digits '19' from the year gives rise to a life-threatening situation.,The removal of '19' from the year could endanger lives.,1
We are too quick to forget that all technology is the work of human beings.,We frequently overlook that technology is entirely a product of human effort.,1
"In a way, we wanted the new computer technology to produce economic results too fast.",Perhaps we were overly eager for the new computer technology to yield economic gains swiftly.,1
Is this not the root of a great number of current social and cultural problems?,Isn't this the source of many of today's societal and cultural issues?,1
We are addicted to the pursuit of profit and economic gain.,Our obsession lies with the constant chase for economic benefits.,1
Of course we have to try to prevent possible disasters.,"Naturally, we must make efforts to avert potential catastrophes.",1
But I think we need equally to reflect on the deeper cultural and religious causes.,"However, reflection on the underlying cultural and religious factors is equally necessary.",1
"Mr President, it is not quite ten months to the turn of the century.","Mr. President, we are not quite ten months away from the century's end.",1
"Despite that, the testing of computer systems is lagging behind in many sectors, and has not even yet begun in all of them.","Computer systems testing remains delayed in various industries, and it hasn't been initiated across the board.",1
"However, it lays the main emphasis on cooperation from its Member States and the western world.","Nonetheless, it prioritizes collaborative efforts from its Member States and those in the West.",1
But the problems are not confined to here.,"However, the difficulties go beyond this location.",1
"The issue is neither a political nor an ideological one, and in dealing with it borders must not act as barriers.","The matter at hand is not related to politics or ideology, and it should be addressed without allowing borders to become obstacles.",1
"It is preferable to make this investment sooner rather than later, as delay could prove costly.","Making the investment promptly is wiser, as postponement could be expensive.",1
The responsibility is a global one.,"The duty rests on a global scale."" - This paraphrase maintains the meaning of a widespread responsibility without overstating the scope or implying individual responsibility",1
Their structure and specialist technical knowledge mean that they are able to react quickly to any software problems that come up.,"Thanks to their specialized expertise and organizational makeup, they can promptly address arising software issues.",1
The rapporteur's comments on the nuclear sector in Eastern Europe and Russia are extremely important.,The rapporteur's insights regarding the nuclear field in Eastern Europe and Russia carry a lot of weight.,1
It is now high time to make sure that the funding available really is used to improve reactor safety.,We must now ensure that the existing funds are actually utilized to enhance the safety of reactors.,1
But we must look beyond this.,"However, we need to consider more than just this.",1
"Even today, we still do not know how big an effect such irresponsible behaviour will have.","Even now, it's unclear what the impact of such reckless actions will be.",1
"Well, this is proof that no-one is governing our world any longer.",This is evidence that our world is no longer governed by anyone.,1
This whole issue of computer faults is not as innocuous as it may seem.,Computer faults aren't as harmless as they appear.,1
We have been looking at the problem for four years now and have tried to do everything we can.,"For four years, we have concentrated on this issue and have made every attempt within our power.",1
"Her problem was that everything she said was always true, but this is not the case with Alan Donnelly.","Her issue was her constant truth-telling, a trait not shared by [Name0] [Surname1].",1
I am sure that some of the fears expressed here in this debate will not come true at all.,I am confident that certain worries mentioned in our debate will turn out to be unfounded.,1
Let me begin by telling you what the Commission has been doing.,I'll start by discussing what the Commission's activities have been.,1
"The first problem was to make everyone aware that there was a problem, and that it affected them.",The initial challenge involved raising awareness about the issue's existence and its impact on everyone.,1
"This was the most important priority, so in itself it is no bad thing.","Being the top priority, it shouldn't be seen as something unfavorable.",1
"The Commission did what it could to help here, focusing particularly on small and medium-sized firms.","The Commission endeavored to provide support, with particular attention to smaller and mid-sized companies.",1
"For example, we provided the atomic energy authority with funding to enable it to carry out operations in Eastern Europe.",We funded the atomic energy authority so it could conduct its work in Eastern Europe.,1
The result is reasonably good.,The outcome is quite satisfactory.,1
We have been doing everything we have listed in the communication.,We've been carrying out all the tasks mentioned in the communication.,1
"These fields were not chosen at random, but because they vary in the way in which they use computers.","The choice of these fields was purposeful, based on their varying computer usage patterns.",1
The data are not linked to particular time intervals and will therefore not be affected by the millennium bug.,"Since the data aren't tied to specific time periods, they won't be impacted by the millennium bug.",1
So this is something else that needs to be looked into.,"Thus, this is another matter that requires investigation.",1
"If people wanted, the Commission could even do more, particularly in the way of providing financial support.","Should there be a desire for it, the Commission has the capacity to offer additional assistance, particularly in terms of financial aid.",1
What else can we do to adapt the legal provisions if necessary?,What additional actions can we take to modify the laws if it's needed?,1
We have looked into this too.,We have also investigated this matter.,1
"Legal rules already exist to deal with problems such as this, because in legal terms it is nothing new.","Laws are already in place to address issues like these, as they are not unprecedented in the legal realm.",1
This is why we do not think it would be a good idea to propose new legal rules.,We believe that suggesting new legal regulations wouldn't be beneficial.,1
"Of course, this does not encourage people to tackle the millennium bug, quite the reverse, unfortunately.","This, regrettably, does not motivate individuals to address the millennium bug, but rather the opposite.",1
"Of course, this will not be the case everywhere.","Certainly, this won't apply in all areas.",1
"For example, someone asked whether Parliament will continue to operate after the year 2000.","For instance, there was a question about whether the Parliament will remain functional after the year 2000.",1
Of course we have ensured that our own systems will operate.,"Naturally, we have made certain that our systems will function.",1
A project designed to ensure that they are millennium-compliant is nearing completion.,A project aimed at making them ready for the millennium is almost finished.,1
"We now know what the Commission is doing, but can you tell honourable Members what stage Parliament has reached?","We understand the Commission's activities; now, can you inform the Members about Parliament's progress?",1
I will convey your request to the President of Parliament and ask him to communicate with you in due course.,I'll pass on your request to the Parliament's President and request that he gets in touch with you when appropriate.,1
"Safety, hygiene and health protection at work",Safeguarding health and ensuring cleanliness and protection in the workplace.,1
Both committees suffer from a lack of resources.,Both committees are facing resource limitations.,1
"Even so, they have succeeded in doing an excellent job.","Nevertheless, they have managed to perform outstandingly.",1
The most important aspect of the Community's activities in the area of health and safety at work is legislation and its application.,"In the realm of occupational health and safety, the pivotal elements are the creation of laws and their practical use.",1
Considerable progress has been made in this field.,This field has seen substantial advancement.,1
"Enforcement is, however, what all the EU health and safety activities hinge on.","However, the crux of all the EU health and safety tasks is their enforcement.",1
These are important priorities.,These priorities are significant.,1
The Commission's extended list of priorities will present a real challenge for action on health and safety at work.,The broadened list of priorities from the Commission will pose a substantial challenge in addressing health and safety concerns in the workplace.,1
Occupational health and safety in the applicant countries is not nearly at the same level as in current Member States.,"The applicant countries do not have the same occupational health and safety standards as the existing Member States."" This version accurately reflects the comparison in occupational health and safety standards between the applicant countries and the current Member States without overstating the difference",1
They will need every possible kind of support to achieve the levels that exist in the Community.,They will require all types of assistance to reach the Community's standards.,1
"In Finland, action to maintain the capacity to work is taken jointly by the employer, the employee and the cooperation organisations.","In Finland, preserving the ability to work is a collaborative effort among the employer, the employee, and the partnering organizations.",1
Finland's good record in this area could be taken as a model of good practice for the other Member States.,Finland's successful approach in this domain may serve as an example for other Member States to follow.,1
There is a fundamental link here with employability.,There's a basic connection with job prospects here.,1
"Our committee has already mentioned stress, in particular, as being one of these.",Our committee has specifically identified stress as one of these factors.,1
"I would also draw attention to the issue of violence, which is a growing problem in the service sector.",I want to bring focus to the escalating violence in the service sector.,1
"I think we need to obtain statistics in this area, broken down by gender.",It's necessary to acquire gender-specific statistics in this field.,1
Amendment No 2 I approve as an addition to paragraph 15 in the report.,I'm in favor of Amendment No 2 as a supplement to paragraph 15 in the report.,1
"In the Nordic countries there are excellent examples of this, and for that reason I recommend that Amendment No 1 be rejected.","Nordic countries provide outstanding examples, which is why Amendment No 1 should not be approved.",1
Worker protection is another important issue in the context of the enlargement to the east.,Safeguarding workers is also a significant matter when it comes to the expansion eastward.,1
"Mr President, Mrs Ojala has been very effective in the committee in driving through a very important report.","In the committee, [Name0] [Surname1] has proactively advanced a report of high importance, acknowledged Mr. President.",1
I pay tribute to her patience and understanding on this issue.,"Her considerable patience and understanding concerning this issue deserve recognition.""",1
Across Europe there are many bodies which play a role in protecting citizens' lives.,Numerous organizations exist throughout Europe that contribute to safeguarding the lives of citizens.,1
I can therefore support both the approach and the substance of Mrs Ojala's report because it moves in that direction.,"Hence, my backing for both the method and the material of the report by Mrs. Ojala, as it proceeds in the intended way.",1
Although Safe Action in Europe is no longer with us in body it is still with us in spirit.,"Even though Safe Action in Europe isn't here anymore, its spirit endures.",1
The Bilbao agency has succeeded in encouraging the process of spreading best practice effectively.,The Bilbao agency has been effective in promoting the adoption of best practices widely.,1
"However, most of all we should celebrate Parliament's vigilance.","Above everything, we ought to applaud the watchfulness of Parliament.",1
It is only by this vigilance that we are able to promote the best strategies which will effect the best practices.,Only through careful attention can we advocate for top strategies that will lead to the best methods.,1
"To this end, I regard this report as a major part of the machinery of good practice and effective regulation in this field.",I see this report as an essential element of the system for ensuring best practices and proper regulation in the sector.,1
The rapporteur is to be congratulated for bringing it together.,We should applaud the rapporteur for assembling it.,1
This is an aspect of social policy which has actually generated the most legislation.,This facet of social policy has in fact produced the greatest number of laws.,1
It is also a part of the internal market.,It also belongs to the internal market.,1
That is sometimes overlooked.,This is occasionally disregarded.,1
So that is one of the reasons why we have such a broad range of legislation covering the field.,"That's why there's such a wide array of laws governing this area.""",1
It is only really in the last year and a half that the matter has been addressed with any vigour.,The subject has only been dealt with energetically for the last year or so.,1
"That, I think, is one of the essential things which need to be done.",I believe that's one of the crucial tasks that needs completion.,1
"These comments are all directed, really, at the Commission.",These remarks are genuinely aimed at the Commission.,1
My second point concerns Eastern Europe.,My next comment addresses the topic of Eastern Europe.,1
I see we have Mr van den Broek here with us.,I notice Mr van den Broek is present with us.,1
"Of course, we cannot accept that.",We surely cannot agree to that.,1
The third point is the question of the committee itself.,The third point pertains to the committee itself.,1
"In one of her amendments, Mrs Ojala has made a direct attack on the independence of the social partners.",Mrs Ojala has directly challenged the autonomy of the social partners in one of her amendments.,1
"That is not acceptable, in my view, and we have tabled an amendment accordingly.","In my opinion, that's not okay, so we've proposed a change.",1
They will be forced to say what others think.,They will have to voice the opinions of others.,1
Those are the points I wished to make - my compliments to the rapporteur.,I wanted to make those remarks and offer my compliments to the report author.,1
OMS attacks the nervous system and can cause severe forms of brain damage.,OMS impacts the nervous system and may lead to severe brain damage.,1
I would urge the Commission to ensure that other countries too make progress on this front.,The Commission should make sure that progress is also made by other countries.,1
I should like to know what further research the Commission is doing into substances suspected of causing OMS.,Can the Commission provide information on additional studies regarding substances that might lead to OMS?,1
"Mr President, first of all I must congratulate Mrs Ojala on her excellent report.","First, I'd like to offer Mrs. Ojala congratulations on her exceptional report.",1
This situation must be tackled conscientiously and responsibly.,This circumstance requires careful and responsible handling.,1
And we will continue to stress this point!,We will keep emphasizing this matter!,1
"Yet this is not the only situation which needs to be tackled, as we are seeing a general trend which must be resisted.","However, this isn't the sole issue that requires attention, as there's a widespread trend that needs opposition.",1
This is why problems must be tackled on the basis of industrial relations.,Issues should be addressed through the perspective of industrial relations.,1
